,number,time,duration,screen_x,screen_y
705,706,450054,120,690,611
706,707,450392,120,761,675
707,708,450552,259,790,654
708,709,451090,140,706,599
709,710,451489,120,748,580
710,711,453882,140,882,661
711,712,455357,100,746,644
712,713,455935,100,768,767
713,714,457729,160,803,755
714,715,458009,120,768,708
715,716,459364,180,102,653
716,717,459943,100,783,754
717,718,460162,140,810,741
718,719,460321,159,845,746
719,720,461338,140,33,205
720,721,462435,100,614,192
721,722,463352,100,512,239
722,723,464229,140,256,214
723,724,465126,100,36,202
724,725,466821,140,51,208
725,726,467439,120,272,222
726,727,467579,100,268,196
727,728,467778,100,65,215
728,729,468236,120,81,748
729,730,468974,279,29,737
730,731,469871,120,115,772
731,732,470529,140,102,799
732,733,470729,179,105,813
733,734,470928,160,103,829
734,735,471526,140,97,844
735,736,472085,120,741,779
736,737,472224,140,751,776
737,738,472563,179,736,792
738,739,472862,139,706,770
739,740,473022,219,696,793
740,741,474457,140,743,854
741,742,474736,159,779,880
742,743,477069,100,786,856
743,744,477707,120,761,829
744,745,478704,120,777,909
745,746,479681,140,768,797
746,747,480020,140,797,800
747,748,480219,140,861,802
748,749,480837,179,764,792
749,750,481216,100,744,798
750,751,482113,159,754,778
751,752,482731,139,730,779
752,753,482911,180,732,769
753,754,483469,120,781,806
754,755,484206,160,767,771
755,756,484406,140,718,781
756,757,484665,140,718,767
757,758,486160,180,747,869
758,759,486459,120,752,860
759,760,486599,139,738,834
760,761,486758,100,789,875
761,762,487875,100,234,254
762,763,488354,179,45,217
763,764,489251,100,798,849
764,765,489570,100,769,867
765,766,489968,179,777,867
766,767,490168,299,807,877
767,768,490487,140,782,875
768,769,490786,160,775,878
769,770,491803,219,104,781
770,771,492700,179,134,840
771,772,493158,219,778,870
772,773,493617,100,812,887
773,774,494056,140,761,839
774,775,494514,100,819,874
775,776,496448,120,751,791
776,777,496588,100,788,838
777,778,496727,159,780,863
778,779,496927,239,767,864
779,780,497186,239,839,859
780,781,497605,219,782,877
781,782,498482,180,769,854
782,783,498980,140,776,883
783,784,499319,100,799,878
784,785,503187,259,446,806
785,786,503506,160,466,811
786,787,505201,199,465,817
787,788,505679,100,96,749
788,789,506078,100,481,805
789,790,506218,100,458,837
790,791,506417,160,463,840
791,792,506856,140,502,856
792,793,507194,100,1163,845
793,794,507354,100,1082,845
794,795,507474,100,1098,842
795,796,508251,180,1086,844
